cat	title
0	传媒与国际文化学院与腾讯集团联合主办的2017中国全媒体高峰论坛在杭州举行
0	第八届教代会、第二十二届工代会筹备工作动员大会召开
0	青衿浙滨论道，共襄模市盛举——记浙江大学第十一届模拟市长论坛公开答辩
0	“创业教育生态系统建设”国际研讨会暨联合国教科文组织中国创业教育联盟2017年会在杭顺利召开
0	一甲子喜迎二甲子 ——电机系57级入学60周年返校庆母校120周年华诞大会胜利召开
0	新经济时代和供应链管理论坛召开 探索供应链管理新未来
0	只问是非，不计利害，追随光明与希望——医学院举行向姚玉峰同志学习主题报告会暨医学院2017级研究生开学典礼
0	体验夏威夷多元文化 促进本土创新创业教育——2017美国创新创业教育夏令营在夏威夷继续游学之旅
0	体验夏威夷多元文化 促进本土创新创业教育 ——2017美国创新创业教育夏令营在夏威夷开启
0	第三届全国体育专业学位研究生教育指导委员会工作会议在浙江大学顺利召开
0	“大学创新创业的困境和发展国际研讨会”在浙江大学召开
0	党委副书记周谷平出席“一带一路”国际合作高峰论坛
0	法语语言文化研究所师生校友艺术展开幕式成功举行
0	浙大第二十七届国际文化节闭幕式暨“视界窗”民族风情展顺利举行
0	传媒与国际文化学院与腾讯集团联合主办的2017中国全媒体高峰论坛在杭州举行
0	第八届教代会、第二十二届工代会筹备工作动员大会召开
0	青衿浙滨论道，共襄模市盛举——记浙江大学第十一届模拟市长论坛公开答辩
0	“创业教育生态系统建设”国际研讨会暨联合国教科文组织中国创业教育联盟2017年会在杭顺利召开
0	一甲子喜迎二甲子 ——电机系57级入学60周年返校庆母校120周年华诞大会胜利召开
0	新经济时代和供应链管理论坛召开 探索供应链管理新未来
0	只问是非，不计利害，追随光明与希望——医学院举行向姚玉峰同志学习主题报告会暨医学院2017级研究生开学典礼
0	体验夏威夷多元文化 促进本土创新创业教育——2017美国创新创业教育夏令营在夏威夷继续游学之旅
0	体验夏威夷多元文化 促进本土创新创业教育 ——2017美国创新创业教育夏令营在夏威夷开启
0	第三届全国体育专业学位研究生教育指导委员会工作会议在浙江大学顺利召开
0	“大学创新创业的困境和发展国际研讨会”在浙江大学召开
0	党委副书记周谷平出席“一带一路”国际合作高峰论坛
0	法语语言文化研究所师生校友艺术展开幕式成功举行
0	浙大第二十七届国际文化节闭幕式暨“视界窗”民族风情展顺利举行
0	浙大第27届国际文化节之第九届泛长三角地区模拟联合国大会顺利落幕
0	杭州大学生创业学院学员接受浙江卫视专访，麦扑文化致力于打造美观、便捷的智慧景区系统
0	第7届亚太国际电磁兼容大会在深圳召开
0	第5届钱江国际青春期医学高峰论坛暨第9届儿科内分泌国家级继续教育学习班隆重召开
0	中荷产业创新合作计划项目“扩张床吸附技术改进及生物制品应用”启动会召开
0	2015年联合国教科文组织中国创业教育联盟理事会顺利召开
0	外语学院俄语专业校友联谊会第一次代表大会顺利召开
0	浙江大学首届物联网“创新&#8226;创业”学生科技文化节开启
0	学校召开2014年度公共卫生与计划生育工作会议
0	附属一院举行建院六十五周年庆典大会
0	“快乐竞赛、快乐学习、快乐体验” ——浙江大学ACM大学生程序设计竞赛发展基金启动仪式让快乐出发
0	建工学院“头雁领飞”工程党支部结对活动启动仪式在建筑设计研究院举行
0	校人口计生委召开2012年人口计生工作会暨先进表彰大会
0	浙江大学出版社被认定为“2011-2012年度浙江省文化出口重点企业”
0	浙江大学召开2011年人口与计划生育工作会议
0	浙江省口腔质控中心工作会议在杭召开
0	浙江大学医学部主办   附属二院承办     中国大型公立医院国际医疗合作论坛隆重召开
0	紫金港校区召开创建文明健康校园大会，重点部署第22个爱国卫生月活动
0	材料系召开2010届毕业生工作会议
0	海洋系召开假前研究生安全工作会议
0	海洋系召开实验室安全整治动员大会
0	控制系召开2006级全体本科毕业生大会
0	西湖区科技局党组书记孔村光来建筑设计院考察指导
0	儿童医院举行学习贯彻十七届四中全会精神辅导报告会
0	一院召开党委中心组会议，学习党的十七届四中全会会议精神
0	二院召开全院中层干部工作会议研讨医院未来五年发展思路
0	电气工程学院暑期工作会议成功召开
0	邵逸夫医院召开2009年暑期工作会议
0	附属二院召开支部书记会议 部署学习实践活动“回头看”工作安排
0	附属二院召开安全医疗、安全生产系列会议，切实加强安全管理
0	儿童医院召开安全工作专题会议，进一步落实安全隐患防范工作
0	附属一院召开安全生产专题会议，安排部署安全管理工作
0	浙医一院举办庆祝建党88周年大会
0	附属二院召开庆祝党建88周年暨先进表彰大会
0	化工系召开全系教职工大会
0	控制系召开班主任工作会议，加强考试诚信教育
0	973课题“基于过程模型的生产全流程在线动态运行优化理论和方法研究”启动会议召开
